Date,Open,High,Low,Close,Volume
6/20/2001,121.190002,122.860001,121.099998,81.899063,8787200
6/21/2001,122.220001,124.309998,122.150002,82.828888,12259100
6/22/2001,123.489998,123.589996,122.160004,82.180031,12212000
6/25/2001,123.279999,123.440002,121.5,81.424103,8406800
6/26/2001,120.900002,122.389999,120.57,81.310387,8005800
6/27/2001,121.599998,122.239998,120.910004,81.26358,10105100
6/28/2001,122,123.940002,121.93,81.711769,10269300
6/29/2001,122.800003,124.010002,122.260002,82.012749,9824200
7/2/2001,122.800003,124.32,122.620003,83.036255,8522200
7/3/2001,123.980003,124.099998,123.050003,83.016212,3303100
7/5/2001,123.07,123.650002,121.660004,81.397339,5517900
7/6/2001,121.309998,121.489998,119.050003,79.638031,11665900
7/9/2001,119.489998,120.540001,119.199997,80.072815,8339300
7/10/2001,120.290001,120.639999,118.209999,79.109543,8630700
7/11/2001,118.099998,118.889999,117.089996,79.189812,15328600
7/12/2001,119.5,121.470001,119.309998,81.069565,12002800
7/13/2001,120.839996,122.32,120.620003,81.771957,10433800
7/16/2001,121.769997,122.279999,120.290001,80.748505,6915300
7/17/2001,120.199997,121.949997,119.830002,81.504395,7469800
7/18/2001,120.559998,121.639999,120.059998,80.949158,7709300
7/19/2001,122.18,122.980003,120.760002,81.658211,10082900
7/20/2001,121.150002,121.940002,120.919998,81.169891,6705800
7/23/2001,121.800003,121.879997,118.949997,79.571136,8065200
7/24/2001,119,119.199997,116.75,78.801811,12269000
7/25/2001,117.919998,119.480003,117.459999,79.671448,12088500
7/26/2001,119.059998,120.849998,118.559998,80.507637,12898200
7/27/2001,120.830002,121.349998,119.910004,80.815353,8478800
7/30/2001,121.190002,121.349998,120.300003,80.84214,8547700
7/31/2001,121,122.68,120.800003,81.176605,11918100
8/1/2001,121.970001,122.699997,121.550003,81.684975,11940800
8/2/2001,123.230003,123.25,121.889999,82.01947,11070100
8/3/2001,122.360001,122.360001,120.900002,81.571281,10816300
8/6/2001,121.349998,121.510002,120.099998,80.474213,8550100
8/7/2001,120.269997,121.199997,119.910004,80.788612,8865100
8/8/2001,120.120003,121.160004,118.43,79.290154,15183800
8/9/2001,118.699997,118.970001,117.860001,79.5243,14118500
8/10/2001,118.800003,119.839996,117.339996,79.798569,11173300
8/13/2001,119.599998,119.849998,118.809998,79.818619,7431600
8/14/2001,120.139999,120.349998,118.800003,79.785179,13178100
8/15/2001,119.230003,119.610001,118.080002,79.096176,8520600
8/16/2001,117.800003,118.75,117,79.370453,10734700
8/17/2001,117.650002,117.870003,116.010002,78.099464,11604600
8/20/2001,116.800003,117.900002,116.550003,78.821899,10417400
8/21/2001,117.800003,118.540001,115.800003,77.477318,14480800
8/22/2001,116.75,117.43,115.779999,78.280029,11752300
8/23/2001,116.959999,117.519997,116.489998,77.999077,8744100
8/24/2001,117.209999,119.129997,116.739998,79.617928,11687700
8/27/2001,118.970001,119.199997,118.260002,79.142975,7425100
8/28/2001,118.279999,118.489998,116.580002,77.985741,12046600
8/29/2001,117.129997,117.18,115.169998,77.290016,16180000
8/30/2001,114.849998,115.739998,112.040001,75.804962,17692600
8/31/2001,113.400002,114.769997,113.129997,76.360207,15985400
9/4/2001,113.849998,116.169998,113.370003,75.871834,24473400
9/5/2001,113.699997,114.190002,111.949997,76.059158,21477100
9/6/2001,112.650002,113.300003,110.769997,74.099167,21653000
9/7/2001,110.019997,111.25,108.629997,72.727783,33133900
9/10/2001,107.699997,110.349998,107.699997,73.617485,23408700
9/17/2001,101,106.400002,100,69.771088,32388700
9/18/2001,104.330002,105.300003,103.360001,69.603821,22029200
9/19/2001,104.099998,104.5,98.559998,68.199059,42771800
9/20/2001,100.400002,101.809998,98.559998,66.031624,36210900
9/21/2001,94.279999,98.989998,93.800003,65.319214,49782100
9/24/2001,99.720001,101.160004,99.059998,67.615601,25549600
9/25/2001,100.75,102,99.900002,68.320656,25466200
9/26/2001,102.349998,102.400002,100.43,68.078903,18587500
9/27/2001,101.25,102.290001,100,68.669769,20536800
9/28/2001,102.980003,109.620003,102.5,70.126877,21687200
10/1/2001,103.900002,104.32,102.830002,70.012726,20457400
10/2/2001,104,105.580002,103.650002,70.892303,19833100
10/3/2001,104.599998,107.879997,104.349998,72.08078,32045800
10/4/2001,108.290001,108.970001,106.75,72.141228,32674100
10/5/2001,107.25,107.620003,105.519997,72.000229,29796100
10/8/2001,106.269997,107.300003,105.870003,71.53019,12970300
10/9/2001,106.610001,106.75,105.599998,71.147461,15976300
10/10/2001,105.800003,108.550003,105.519997,72.732109,19987400
10/11/2001,108.949997,110.300003,108.949997,73.860168,23006300
10/12/2001,109.150002,109.889999,107.300003,73.524414,31360500
10/15/2001,108.629997,109.449997,108.059998,73.390152,16873000
10/16/2001,109.800003,110.610001,108.949997,73.853447,15877100
10/17/2001,111.07,111.150002,107.650002,72.282249,28542300
10/18/2001,107.82,108.160004,106.75,72.127831,16510000
10/19/2001,107,107.910004,106.010002,72.08078,21912500
10/22/2001,107.300003,109.57,107.209999,73.504288,17540600
10/23/2001,109.959999,110.279999,108.379997,73.128265,22062500
10/24/2001,108.980003,109.449997,108.220001,72.933571,16065200
10/25/2001,107.449997,110.599998,106.739998,74.242882,27467900
10/26/2001,109.949997,111.790001,109.669998,74.075027,18623300
